source_id,solution_id,designation,ref_epoch,ra,dec,phot_g_mean_mag,duplicated_source
1576683529448755328,1636148068921376768,Gaia DR3 1576683529448755328,2016.0,193.50817846782095,55.959784778923755,1.731607,false
6560604777055249536,1636148068921376768,Gaia DR3 6560604777055249536,2016.0,332.05907779469464,-46.96161734131188,1.7732803,false
1510374147844219904,1636148068921376768,Gaia DR3 1510374147844219904,2016.0,206.8843267438112,49.313201807217496,1.881019,false
3377166289889430656,1636148068921376768,Gaia DR3 3377166289889430656,2016.0,95.74037353106223,22.51309871600816,1.8813683,false
418551920284673408,1636148068921376768,Gaia DR3 418551920284673408,2016.0,10.12724197930297,56.53718879378639,1.9425238,false
4677205714465503104,1636148068921376768,Gaia DR3 4677205714465503104,2016.0,69.1893185844083,-62.07749050901024,1.9587749,false
6026152137856166912,1636148068921376768,Gaia DR3 6026152137856166912,2016.0,252.53759018899078,-34.294371751412214,1.9910356,false
4357027756659697664,1636148068921376768,Gaia DR3 4357027756659697664,2016.0,243.58621066034064,-3.694967708333353,2.0164251,false
426558460884582016,1636148068921376768,Gaia DR3 426558460884582016,2016.0,14.177450998208093,60.71672280471204,2.0645833,false
3011968416163350272,1636148068921376768,Gaia DR3 3011968416163350272,2016.0,86.93912852502406,-9.669607137549677,2.0778263,false
5589311357728452608,1636148068921376768,Gaia DR3 5589311357728452608,2016.0,109.28559423278779,-37.097444485279574,2.0832374,false
4993479684438433792,1636148068921376768,Gaia DR3 4993479684438433792,2016.0,6.57215550145885,-42.30782032569077,2.0899775,false
4493746564376875520,1636148068921376768,Gaia DR3 4493746564376875520,2016.0,263.7341968642716,12.559009843277153,2.1082857,false
142853330981747328,1636148068921376768,Gaia DR3 142853330981747328,2016.0,46.29487462677558,38.83980896875264,2.111629,false
2067518817314952576,1636148068921376768,Gaia DR3 2067518817314952576,2016.0,305.55710787667306,40.2566736114266,2.1137252,false
4038055447778237312,1636148068921376768,Gaia DR3 4038055447778237312,2016.0,274.4060904518451,-36.76242931758906,2.1164951,false
160886283751041408,1636148068921376768,Gaia DR3 160886283751041408,2016.0,74.24843702624405,33.16601472318802,2.1975422,false
1869302503206674304,1636148068921376768,Gaia DR3 1869302503206674304,2016.0,311.5547590119282,33.9717003123585,2.2109652,false
5300300156538723328,1636148068921376768,Gaia DR3 5300300156538723328,2016.0,139.2723686431627,-59.27517582046192,2.213786,false
4302054339959905920,1636148068921376768,Gaia DR3 4302054339959905920,2016.0,296.56498571046956,10.613252703828636,2.223692,false
6127791439360208640,1636148068921376768,Gaia DR3 6127791439360208640,2016.0,190.3779930225551,-48.95978360109781,2.2270558,false
423018377034969216,1636148068921376768,Gaia DR3 423018377034969216,2016.0,2.2990654282325518,59.14897576410493,2.232691,false
3220756843825383936,1636148068921376768,Gaia DR3 3220756843825383936,2016.0,83.00165624929525,-0.2990788925812489,2.2487726,false
5534788672055388032,1636148068921376768,Gaia DR3 5534788672055388032,2016.0,120.89585713760054,-40.00307350941095,2.2542944,false
3377072212924335488,1636148068921376768,Gaia DR3 3377072212924335488,2016.0,93.71906923878569,22.50675368193066,2.2620378,false
1222646935698492160,1636148068921376768,Gaia DR3 1222646935698492160,2016.0,233.67254376294218,26.714295174747274,2.2693703,false
5111187420714898304,1636148068921376768,Gaia DR3 5111187420714898304,2016.0,59.507642022011794,-13.509012610930261,2.2707934,false
1563590579347125632,1636148068921376768,Gaia DR3 1563590579347125632,2016.0,200.98237336533253,54.92525907860076,2.282647,false
4049506483413484672,1636148068921376768,Gaia DR3 4049506483413484672,2016.0,275.24868220695066,-29.82822386700995,2.296982,false
6227443304915069056,1636148068921376768,Gaia DR3 6227443304915069056,2016.0,226.0172005141403,-25.2821590562471,2.3034124,false
804753180515722624,1636148068921376768,Gaia DR3 804753180515722624,2016.0,155.58176101601168,41.49966386040507,2.32451,false
5905821894507108864,1636148068921376768,Gaia DR3 5905821894507108864,2016.0,220.4821588727846,-47.388273117597144,2.3246517,false
4429785739602747392,1636148068921376768,Gaia DR3 4429785739602747392,2016.0,236.0675744297602,6.4258326669088035,2.3253543,false
2106630885454013184,1636148068921376768,Gaia DR3 2106630885454013184,2016.0,283.83388403904866,43.946451132674866,2.3616831,false
5922444483103229952,1636148068921376768,Gaia DR3 5922444483103229952,2016.0,261.3248860596135,-55.529996917051356,2.3912818,false
856096765753549056,1636148068921376768,Gaia DR3 856096765753549056,2016.0,165.46097417209683,56.38257749355825,2.3985364,false
3704342295607157120,1636148068921376768,Gaia DR3 3704342295607157120,2016.0,193.89877797423057,3.3972301950318524,2.4037774,false
5961206940987571200,1636148068921376768,Gaia DR3 5961206940987571200,2016.0,265.62193838278046,-39.03009162628322,2.4227042,false
2193192137376175488,1636148068921376768,Gaia DR3 2193192137376175488,2016.0,319.64633694354825,62.58579604829105,2.428267,false
792588939773693568,1636148068921376768,Gaia DR3 792588939773693568,2016.0,178.45836676657404,53.694797326318046,2.4362755,false
4473334474604992384,1636148068921376768,Gaia DR3 4473334474604992384,2016.0,265.86794661822,4.568012245771951,2.4423249,false
3501215734352781440,1636148068921376768,Gaia DR3 3501215734352781440,2016.0,188.59681758232725,-23.397012233844624,2.448283,false
2202630001603369856,1636148068921376768,Gaia DR3 2202630001603369856,2016.0,325.87694430713873,58.78002783444686,2.450726,false
4629125170492116224,1636148068921376768,Gaia DR3 4629125170492116224,2016.0,56.810583950214635,-74.23845269276111,2.4740036,false
5310393535853560576,1636148068921376768,Gaia DR3 5310393535853560576,2016.0,140.52832321650078,-55.01061135363584,2.487886,false
702343774145932544,1636148068921376768,Gaia DR3 702343774145932544,2016.0,140.2625728404832,34.39263287351821,2.488654,false
1625209684868707328,1636148068921376768,Gaia DR3 1625209684868707328,2016.0,245.9977069286059,61.514463511632556,2.494415,false
2816504901198512768,1636148068921376768,Gaia DR3 2816504901198512768,2016.0,346.19050678740496,15.205082982106333,2.5036576,false
6126469654585981952,1636148068921376768,Gaia DR3 6126469654585981952,2016.0,182.08939329942342,-50.72248107334658,2.508257,false
5917537534527580160,1636148068921376768,Gaia DR3 5917537534527580160,2016.0,254.65491303478962,-55.99029939641002,2.5107856,false
5361403934691772160,1636148068921376768,Gaia DR3 5361403934691772160,2016.0,161.6928645043898,-49.420476913951866,2.5133939,false
4076915349846977664,1636148068921376768,Gaia DR3 4076915349846977664,2016.0,276.99244340050245,-25.422523033637848,2.5435061,false
5306951892646516992,1636148068921376768,Gaia DR3 5306951892646516992,2016.0,142.80522590576416,-57.03435042166543,2.5465453,false
