source_id,designation,solution_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,duplicated_source,phot_proc_mode,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits
1779546757669063552,Gaia DR3 1779546757669063552,1636148068921376768,7.5212455,7.7932835,7.080288,false,0,0,0,0,0
2079000330051813504,Gaia DR3 2079000330051813504,1636148068921376768,14.583239,15.51225,13.631706,false,0,0,0,0,0
2079597124345617280,Gaia DR3 2079597124345617280,1636148068921376768,13.392909,13.772195,12.851425,false,0,0,0,0,0
2835207319109249920,Gaia DR3 2835207319109249920,1636148068921376768,5.283212,5.6174655,4.7888722,false,0,0,0,0,0
3910747531814692736,Gaia DR3 3910747531814692736,1636148068921376768,12.400764,13.71137,11.269744,false,0,0,0,0,0
