messier_number,canonical_name,slug,canonical_entity_type,target_scope,coordinate_role,requested_identifier,oid,main_id,otype,ra,dec,coo_qual,coo_bibcode
67,Messier 67,messier-67,cluster,object,provider_record_catalogue_anchor,M  67,1136125,NGC  2682,OpC,132.84583333333333,11.81388888888889,E,2021A&A...647A..19T
68,Messier 68,messier-68,cluster,object,provider_record_catalogue_anchor,M  68,1972667,M  68,GlC,189.8665833333333,-26.74405555555555,D,2010AJ....140.1830G
69,Messier 69,messier-69,cluster,object,provider_record_catalogue_anchor,M  69,2393171,M  69,GlC,277.84625,-32.34808333333334,D,2010AJ....140.1830G
70,Messier 70,messier-70,cluster,object,provider_record_catalogue_anchor,M  70,2393969,M  70,GlC,280.80316666666664,-32.292111111111105,D,2010AJ....140.1830G
71,Messier 71,messier-71,cluster,object,provider_record_catalogue_anchor,M  71,2774099,M  71,GlC,298.44370833333335,18.779194444444443,D,2010AJ....140.1830G
72,Messier 72,messier-72,cluster,object,provider_record_catalogue_anchor,M  72,2558019,M  72,GlC,313.36541666666665,-12.537305555555555,D,2010AJ....140.1830G
73,Messier 73,messier-73,sky_region,apparent_group,provider_record_catalogue_anchor,M  73,2557748,NGC  6994,err,314.75,-12.633333333333333,E,
74,Messier 74,messier-74,galaxy,object,provider_record_catalogue_anchor,M  74,1465340,M  74,G,24.173938015259996,15.783640975640001,A,2020yCat.1350....0G
75,Messier 75,messier-75,cluster,object,provider_record_catalogue_anchor,M  75,2526455,M  75,GlC,301.52017083333334,-21.922261111111112,C,2006AJ....131.1163S
76,Messier 76,messier-76,nebula,object,provider_record_catalogue_anchor,M  76,84066,M  76,PN,25.58189905342,51.57542638057,A,2020yCat.1350....0G
77,Messier 77,messier-77,galaxy,object,provider_record_catalogue_anchor,M  77,1378180,M  77,Sy2,40.66962152891999,-0.01329435839,C,2020yCat.1350....0G
78,Messier 78,messier-78,nebula,object,provider_record_catalogue_anchor,M  78,825922,M  78,RNe,86.69083333333333,0.07916666666666666,D,
79,Messier 79,messier-79,cluster,object,provider_record_catalogue_anchor,M  79,789303,M  79,GlC,81.04412500000002,-24.52425,D,2006MNRAS.365.1357D
80,Messier 80,messier-80,cluster,object,provider_record_catalogue_anchor,M  80,2509710,M  80,GlC,244.26004166666672,-22.976083333333328,D,2010AJ....140.1830G
81,Messier 81,messier-81,galaxy,object,provider_record_catalogue_anchor,M  81,434630,M  81,Sy2,148.88821939854,69.06529514038,A,2020yCat.1350....0G
82,Messier 82,messier-82,galaxy,object,provider_record_catalogue_anchor,M  82,433918,M  82,AGN,148.96845833333333,69.67970277777778,C,2006AJ....131.1163S
83,Messier 83,messier-83,galaxy,object,provider_record_catalogue_anchor,M  83,2177129,M  83,SBG,204.25383,-29.865761111111112,C,2006AJ....131.1163S
84,Messier 84,messier-84,galaxy,object,provider_record_catalogue_anchor,M  84,1936425,M  84,Sy2,186.2655972083333,12.886983138888887,A,2009A&A...493..317L
85,Messier 85,messier-85,galaxy,object,provider_record_catalogue_anchor,M  85,1933477,M  85,GiP,186.35022083333328,18.191080555555555,C,2006AJ....131.1163S
86,Messier 86,messier-86,galaxy,object,provider_record_catalogue_anchor,M  86,1934764,M  86,GiG,186.54922499999998,12.945969444444444,C,2006AJ....131.1163S
87,Messier 87,messier-87,galaxy,object,provider_record_catalogue_anchor,M  87,1937204,M  87,AGN,187.70593076725,12.391123246083334,A,2020A&A...644A.159C
88,Messier 88,messier-88,galaxy,object,provider_record_catalogue_anchor,M  88,1934356,M  88,Sy2,187.99646877602,14.420319158839998,C,2020yCat.1350....0G
89,Messier 89,messier-89,galaxy,object,provider_record_catalogue_anchor,M  89,1962096,M  89,Sy2,188.9158638892917,12.556341907138888,A,2020A&A...644A.159C
90,Messier 90,messier-90,galaxy,object,provider_record_catalogue_anchor,M  90,1961913,M  90,Sy2,189.20750409994997,13.162923281399998,A,2020yCat.1350....0G
91,Messier 91,messier-91,galaxy,object,provider_record_catalogue_anchor,M  91,1961128,M  91,LIN,188.86018615054996,14.496322314930001,C,2020yCat.1350....0G
92,Messier 92,messier-92,cluster,object,provider_record_catalogue_anchor,M  92,2946389,M  92,GlC,259.2807916666667,43.13594444444444,D,2010AJ....140.1830G
93,Messier 93,messier-93,cluster,object,provider_record_catalogue_anchor,M  93,1013069,NGC  2447,OpC,116.14083333333332,-23.853055555555557,E,2021A&A...647A..19T
94,Messier 94,messier-94,galaxy,object,provider_record_catalogue_anchor,M  94,1976412,M  94,SyG,192.72114082143,41.12025024573,A,2020yCat.1350....0G
95,Messier 95,messier-95,galaxy,object,provider_record_catalogue_anchor,M  95,1750499,M  95,GiP,160.99054728575,11.703694775369998,C,2020yCat.1350....0G
96,Messier 96,messier-96,galaxy,object,provider_record_catalogue_anchor,M  96,1749772,M  96,GiP,161.6906,11.819938888888887,C,2006AJ....131.1163S
